Full Name,Description,Job,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Reason,Known for,Notable Work,Image,Website,Children,Native Name,Signature,Title,Honours,Awards,Education,Birth Name,Nationality,Weight,Height,Eye Color,Hair Color
Chinki Yadav,,,,,,,{{birth date and age|1997|11|26|df|=|y}},,"[[Bhopal]], [[Madhya Pradesh]], India",,,,,,,,,,,,,,,[[India]]n,,,,
Chitra Banerjee Divakaruni,,Writer,,,,Murthy,{{birth date and age|1956|7|29|df|=|y}},,"[[Kolkata]], India",,,,''[[Mistress of Spices]]'',ChitraBanerjeeDivakaruni.JPG,{{URL|www.chitradivakaruni.com}},"Abhay, Anand",,,,,,,Chitralekha Banerjee,[[Indian-American]],,,,
Chitra Mudgal,,"Novelist, writer",,,,,{{birth date and age|df|=|y|1943|12|10}},,"[[Madras]], [[Madras Presidency]], British India",,,,"''Post Box No. 203 – Nala Sopara'', ''Aavaan''","Chitra Mudgal bharat-s-tiwari-photography-chitra-mudgal April 01, 2017.jpg",,,,,,,{{awd |[[List of Sahitya Akademi Award winners for Hindi|Sahitya Akademi Award]]}},[[Master of Arts|MA]] in [[Hindi Literature]],,Indian,,,,
Chitra Naik,,Educationist<br>Writer<br>Social worker,,,,[[Jayant Pandurang Naik]],{{birth date|1918|7|15|df|=|y}},{{death date and age|2010|12|24|1918|7|15|df|=|y}},"[[Pune]], [[Maharashtra]], India","[[Pune]], [[Maharashtra]], India",,Educational reforms,,,{{Url|http://www.iiepune.org|Website of IIE}},,,,,,[[Padma Shri]]<br>Pranawanand Award<br>Jeevan Sadhana Award<br>Karma Veer Bahurao Patil Samaj Seva Award<br>Tagore Literacy Award<br>[[UNESCO]] Raja Roy Singh Award<br>[[Rajiv Gandhi]] Award<br>[[UNESCO]] Jan Amos Comenius International Award<br>[[Jamnalal Bajaj Award]],,,,,,,
Chitra Subramaniam,,"Journalist, Author, Entrepreneur",,,,,5 April 1958,,,,,,,,http://www.csdconsulting.net,,,,,,,,,,,,,
Chitrashi Rawat,,{{hlist|Hockey player|actress}},,,,,{{birth date and age|df|=|yes|1989|11|29}},,"[[Dehradun]], [[Uttarakhand]], [[India]]",,,,,Chitrashi Rawat in 2017.jpg,,,,,,,,,,,,,,
C. Ammanna Raja,,,,,,Chodagam Janardhana Rao,6 June 1909,22 February 1999,"[[Machilipatnam|Bandar]], [[Madras Presidency]], [[British India]] <br />(Present day [[Andhra Pradesh]])","[[Hyderabad]], [[Andhra Pradesh]]",,,,,,1 son Chodagam Kishore and 1 daughter Urmila,,,,,,,,,,,,
Constance Prem Nath Dass,,[[College administrator]],,,,,1886,{{Death year and age|1971|1886}},,,,,,Photo of Constance Prem Nath Dass.jpg,,,,,,,,,,,,,,
Cross country running,,,,,,,,,,,,,,MNSTATE.jpg,,,,,,,,,,,,,,
Dalima Chhibber,,,,,,,{{birth date and age|1997|8|30|df|=|y}},,[[Delhi]],,,,,,,,,,,,,,,,,,,
Dalip Kaur Tiwana<br>(ਦਲੀਪ ਕੌਰ ਟਿਵਾਣਾ),,"novelist, short-story writer",,,,,{{birth date|1935|5|4|df|=|y}},,"Rabbon, [[Ludhiana District]], [[Punjab (British India)|Punjab]], British India",,,,,DalipKaurTiwana.jpg,,,,,,,,,,,,,,
Damayanti Tambay,,[[Badminton|Former Badminton Player]],,,,[[Vijay Vasant Tambay]],,,,,,[[Vijay Vasant Tambay|Wife of Vijay Vasant Tambay]] <br> [[Badminton|Former Badminton Player]],,Damayanti_Wedding_Image.jpg,,,,,,,,,,[[India]]n,,,,
Damini Gowda,,,,,,,{{birth date and age|1999|2|20|df|=|yes}},,,,,,,"Damini Gowda in the Women’s swimming 200m Butterfly category, at the 12th South Asian Games-2016, in Guwahati.jpg",,,,,,,,,,,,,,
Daya Bai,,"social worker, activist",,,,,{{Birth year and age|1940}},,,,,tribal upliftment,,Daya Bai.jpg,,,,,,,,,Mercy Mathew,Indian,,,,
Dayanita Singh,,"Contemporary Artist, Photographer",,,,,{{birth date and age|df|=|yes|1961|03|18}},,New Delhi,,,,"''Museum Bhavan'' (2013) , ''Myself Mona Ahmed'' (2001)",Dayanita singh book museum 12.JPG,{{URL|dayanitasingh.net}},,,,,,"[[Ordre des Arts et des Lettres]] 
2014

[[Prince Claus Award]], Amsterdam 
2008",,,Indian,,,,
Deanne Panday,,[[Author]] and wellness coach,,,,[[Chikki Panday]] (1994–present),{{birth date and age|df|=|yes |1968|12|10}},,"[[Bombay]], [[India]] <br/> (now [[Mumbai]], [[Maharashtra]])",,,,,Deanne Pandey.JPG,,Alanna Panday (daughter) <br/>Ahaan Panday (son),,,,,,,Deanne Woodham,,,,,
Deborah Herold,,Cyclist,,,,,,,"Aberdeen, [[Port Blair]], [[Andaman and Nicobar Islands]], India",,,,,UCI Track World Championships 2018 107.jpg,,,,,,,,,,,,,,
Deep Grace Ekka,,,,,,,{{Birth date and age|1994|6|3|df|=|y}},,"[[Odisha]], [[India]]",,,,,Deep Grace Ekka.jpg,,,,,,,,,,,63 kg,1.58 m,,
Deepa Kumar,,"[[Journalism]] and [[Media Studies]], [[Rutgers University]], writer",,,,,,,,,,,,Deepa Kumar.jpg,{{URL|http://deepakumar.net}},,,,,,,,,[[Indian-American]],,,,
Deepa Madhukar Marathe,,,India,,,,{{Birth date and age|1972|11|25|df|=|yes}},,"[[Wai, Maharashtra]], [[India]]",,,,,,,,,,,,,,,,,,,
Deepa Venkat,,"Actress, dubbing artist",,,,,,,,,,,,,,,,,,,,,,,,,,
Deepali Deshpande,,,,,,,{{birth date and age|1969|8|3|df|=|yes}},,"[[Mumbai]], India",,,,,,,,,,,,,,,{{IND}},54 kg,1.59 m,,
Deepali Noor,,[[Fashion Designer]],,,,,,,"Mumbai,India",,,,,,www.deepalinoor.com,,,,,,[[Vijay Award for Best Costume Designer]] for her work in the film [[Madrasapattinam]]. also won the [[Norway Tamil Film Festival Awards]] for '''Best Costume Design''',,,Indian,,,,
Deepali Pant,,Banker,,,,Rajeev Joshi,{{birth date and age|df|=|yes|1957|12|12}},,,,,Executive Director of [[Reserve Bank of India]],,,,,,,,,,,,Indian,,,,
Deepika Kumari,,,India,,,[[Atanu Das]],{{birth date and age|df|=|yes|1994|06|13}},,"[[Ranchi]], [[Bihar]] (now [[Jharkhand]]), [[India]]",,,,,Women Archery team (cropped Deepika Kumari).jpg,,,,,,,,,,,{{convert|56|kg|lb|abbr|=|on}} (2010),{{convert|1.61|m|ftin|abbr|=|on}} (2010),,
Deepika Thakur,,,,,,,{{Birth date and age|1987|2|7|df|=|y}},,"Yamunanagar, [[Haryana]], [[India]]",,,,,,,,,,,,,,,,56 kg,1.66 m,,
Deepthi Chapala,,,[[India]],,,,,,,,,,,,,,,,,,,,,,,,,
Deepti Bhagwan Sharma,,,India,,,,{{Birth date and age|1997|8|24|df|=|y}},,"[[Saharanpur]], [[Uttar Pradesh]], [[India]]",,,,,2020 ICC W T20 WC I v B 02-24 Sharma (03).jpg,,,,,,,,,,,,,,
Deeya Suzannah Bajaj,,"Mountaineer, Explorer, Motivational Speaker, Adventure Tourism",,,,,{{birth date and age|1994|3|9}},,,,,,,,,,,,,,,,,Indian,,,,
Devika Palshikar,,,India,,,,{{Birth date and age|1979|6|20|df|=|yes}},,"[[Malvan]], [[India]]",,,,,Devika palshikar.jpg,,,,,,,,,,,,,,
Devika Purnendu Vaidya,,,India,,,,{{birth date and age|1997|8|13|df|=|yes}},,"[[Pune]], [[Maharashtra]]",,,,,,,,,,,,,,,,,,,
Dhanya Nair,,,India,,,,{{Birth date and age|df|=|yes|1984|07|16}},,,,,,,,,,,,,,,,Dhanya Nair,,,,,
Dhiruben Patel,,{{ubl|Novelist|Play writer|Film writer|Translator}},,,,,{{Birth date and age|df|=|yes|1926|05|29}},,"[[Baroda]], [[British Raj]] (now [[Vadodara]])",,,,"''Agantuk'', ''Nirbandh Nibandho''",Shri Dhirubahen patel (2).jpg,,,,,,,{{ubl|[[Ranjitram Suvarna Chandrak]]|[[Sahitya Akademi Award for Gujarati]]}},,,Indian,,,,
Dhruvi Acharya,,,,,,[[Manish Acharya]],{{birth year and age|1971}},,India,,,Painting,,,,2,,,,,,,,,,,,
Diana Fram Edulji,,,India,,,,{{Birth date and age|1956|01|26|df|=|yes}},,"[[Bombay]], [[Bombay State]], [[India]]",,,,,Diana Fram Edulji.jpg,,,,,,,,,,,,,,
Diksha Dagar,,,,,,,{{birth date and age|2000|12|14|df|=|y}},,"Chappar, [[Jhajjar]], [[Haryana]], [[India]]",,,,,,,,,,,,,,,{{IND}},,,,
Diljott,,"Actress, Scholar, Humanitarian",,,,,,,,,,,,Celebrity Diljott.jpg,,,,,,,,"Public Policy (Harvard University, USA),<br/> International Development (University of British Columbia),<br/> Masters in Human Rights (University Gold Medalist), <br/> Bachelors in Psychology Honors (University Gold Medalist),<br/> Post Graduate Course in NGO Management",Diljott,,,,,
Dinesh Nandini Dalmia,,Poet<br/>Short story writer<br/>Novelist,,,,[[Ramkrishna Dalmia]],{{Birth date|df|=|yes|1928|02|16}},{{Death date and age|df|=|yes|2007|10|25|1928|02|16}},"[[Udaipur]], [[Udaipur State]], [[British India]]","[[Delhi]], [[India]]",,Hindi literature,,Dinesh Nandini Dalmia 2009 stamp of India.jpg,,,,,,,[[Padma Bhushan]]<br/>Sakseria Award<br/>Mahila Sasakthikaran Puraskar<br/>Prem Chand Award,,,,,,,
Dipa Karmakar,,,India,,,,{{birth date and age|1993|08|09|df|=|y}},,"[[Agartala]], [[Tripura]], [[India]]",,,,,Deepa Karmakar (cropped).jpg,,,,,,,,,,,,4 ft 11 in,,
Dipika Murthy,,,,,,,,,"[[Gujarat]], India",,,,,,,,,,,,,,,,,,,
Dipika Rebecca Pallikal<BR>Karthik,,,{{IND}},,,,{{birth date and age |df|=|yes|1991|09|21}},,"[[Madras]], [[Tamil Nadu]], [[India]]",,,,,Dipika Pallikal (India) defeated Jaclyn Hawkes (New Zealand) in the women's semifinals 06 (cropped).jpg,,,,,11( 18 finals),,,,,,{{convert|69|kg|lb st|abbr|=|on}},{{convert|171|cm|ftin|frac|=|2|abbr|=|on}},,
Divya Deshmukh,,,India,,,,{{Birth date and age|2005|12|09}},,"[[Maharashtra, India]]",,,,,,,,,,[[Woman Grandmaster]] (2020),,,,,,,,,
Divya Dhayal,,,[[India]],,,,,,"[[Bareilly]], [[Uttar Pradesh]], India",,,,,Divya-dhayal-archery.jpg,,,दिव्या धायल,,,,,,,[[India]],,,,
Divya Kakran,,"Sports, currently working in [[Indian Railways]], [[Delhi]]",India,,,,,,"Purbaliyan, Muzaffarnagar, Uttar Prdesh",,,,,Divya Kakran.JPG,,,दिव्या काकरान,,,,,,,India,68 kg,167 cm,,
Divya Mehra,,,,,,,{{birth year and age|1981}},,"Winnipeg, Manitoba, Canada",,,Multimedia artworks,,,divyamehra.com,,,,,,,"Columbia University, University of Manitoba",,,,,,
Divya Singh,,,,,,,{{birth date and age|df|=|yes|1982|7|21}},,"[[Varanasi]], [[Uttar Pradesh]], [[India]]",,,,,Divya9868S.jpg,,,,,,,,,,{{flagicon|IND}} Indian,,,,
Divya Tewar,,[[Sportsperson]] ([[Judo]]),,,,,,,,,,,,,,,,,,,,,,,,,,
Dola Banerjee,,[[Sportsperson|Sportsman]] ([[Archery|Archer]]),,,,,{{birth date and age|df|=|yes|1980|06|02}},,"[[Baranagar]], [[North 24 Parganas district]], [[West Bengal]]",,,,,Dola_banerjee.JPG,,,,,,,,,,Indian,,,,
Dolly Jain,,,,,,,,,"Bengaluru, Karnataka",,,,,,{{URL|https://dollyjain.com}},,,,,,,,,Indian,,,,
Dolly Kikon,,,,,,,{{birth year and age|1975}},,,,,,,Dolly Kikon in Guwahati.jpg,,,,,,,,,,Indian,,,,
Dolly Nazir,,,,,,,{{birth year and age|1935}},,,,,,,,,,,,,,,,,,,,,
Dulari Qureshi,,"art historian, academic, author",,,,,{{birth date and age|1950|09|24}},,,,,,,Dulari Qureshi.jpg,,,,,,,,,,Indian,,,,
Durgabai Vyam,,,,,,,1972,,"Burbaspur, [[Madhya Pradesh]], [[India]]",,,,,Gond Painting of MP1.JPG,,,,,,,,,,Indian,,,,
Durga Narayan Bhagwat,,,,,,,1910,2002,,,,,"Pais, Vyas Parva, Bhavmudra, Rutuchakra",Durga_Bhagwat.JPG,,,,,,,Sahitya Academy ( Pais),,,,,,,
Durga Deulkar,,"Educationist, writer",,,,,,,India,,,,,,,,,,,,[[Padma Shri]],,,,,,,
Durgabai Deshmukh,,,,,,{{marriage| Chintaman Deshmukh|1953}},{{Birth date|df|=|yes|1909|07|15}},{{Death date and age|df|=|yes|1981|05|09|1909|07|15}},"[[Rajahmundry]], [[Madras Presidency]], [[British Raj|British India]] (now [[Andhra Pradesh]], [[India]])","[[Narasannapeta]], [[Andhra Pradesh]], [[India]]",,,,Durgabai Deshmukh 1982 stamp of India.jpg,,,,,,,{{nowrap|[[Padma Vibhushan]]}},,,,,,,
Duvvuri Subbamma,,,,,,,{{birth date|1881|11|15|df|=|y}},,"Daksharamam, [[East Godavari district]], [[Andhra Pradesh]], India",,,,,Duvvuri subbamma.jpg,,,,,,,,,,Indian,,,,
Eesha Karavade,,,India,,,,{{Birth date and age|1987|11|21|df|=|y}},,"[[Pune]], India",,,,,Eesha Karavade 2011.jpg,,,,,[[International Master]] (2010)<br />[[Woman Grandmaster]] (2005),,,,,,,,,
Eka Lakhani,,"fashion costume designer, celebrity stylist",,,,,,,,,,fashion designing,,,,,,,,,,,,[[India]]n,,,,
Ekta Bisht,,,India,,,,{{Birth date and age|1986|02|08|df|=|yes}},,"[[Almora]], [[Uttarakhand]], India",,,,,Ekta-bisht.jpg,,,,,,,,,,,,,,
Ela Bhatt,,"Lawyer, philanthropist",,,,Ramesh Bhatt,{{birth date and age|df|=|yes|1933|9|7}},,"[[Ahmedabad]], [[Bombay Presidency]], [[British Raj|British India]]",,,founded [[Self-Employed Women's Association of India|SEWA]],,MJ-Ela-Bhatt-October-2013.jpg,{{URL|sewa.org/}},,,,,,"[[Padma Shri]], [[Padma Bhushan]], [[Ramon Magsaysay Award]], [[Right Livelihood Award]], [[Niwano Peace Prize]], [[Indira Gandhi Prize|Indira Gandhi Prize for Peace, Disarmament and Development]]","B.A., LL.B.; Diploma of Labor and Cooperatives;",,[[Indian people|Indian]],,,,
Elangbam Panthoi Chanu,,,,,,,{{birth date and age|1996|12|23|df|=|y}},,"[[Imphal]], [[Manipur]], India",,,,,,,,,,,,,,,,,5.7,,
Elavenil Valarivan,,,India,,,,{{Birth-date and age| 2 August 1999}},,"[[Cuddalore]], Tamil Nadu, India",,,,,Elavenil Valarivan.jpg,,,,,,,,"studied at Global Mission International School, Ahmedabad.",,Indian,{{Convert|54|kg|lb}},{{Convert|164|cm|ft}},,
Eliza Nelson,,[[Field hockey]] player,,,,,27 September 1956,,"[[Pune]], [[Maharashtra]], India",,,Women's hockey,,,,,,,,,[[Padma Shri]]<br>[[Arjuna Award]],,,,,,,
Elizabeth Susan Koshy,,,,,,,,,"[[Kochi]], [[Kerala]], India",,,,,Elizabeth Koshy at the 12th South Asian Games in 2016.jpg,,,,,,,,,,[[Indian people|Indian]],{{convert|54|kg|lb|abbr|=|on}},{{convert|1.61|m|ftin|abbr|=|on}},,
Emelina Soares,,,,,,,,,"Doha, Qatar",,,,,Emelina.jpg,,,,,,,,"Emily Carr University of Art and Design, MFA
University College of London, MA
Virginia Commonwealth University, BFA",,Indian,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erum Ali,,,,,,[[Abbas (actor)|Abbas]] (m. 1997),{{Birth date and age|1975|8|8|df|=|yes}},,India,,,,,,,2,,,,,,,,,,,,
Esha Dadawala,,"Poet, journalist",,,,,{{birth date and age|df|=|yes|1985|1|2}},,"[[Surat]], [[Gujarat]]",,,,"* ''Vartaro'' (2008)
* ''Janmaro'' (2013)",,,,એષા મયંક દાદાવાળા,,,,"{{plainlist|
* [[Yuva Gaurav Puraskar|Yuva Gaurav Award]] (2013)
* [[Yuva Puraskar]] (2018)}}",Bachelor of Arts,Esha Mayank Dadawala,Indian,,,,
Esha Singh,,,,,,,{{birth date and age|2005|01|01|df|=|y}},,[[Hyderabad]],,,,,Esha Singh.jpg,,,,,,,,,,Indian,,,,
Pramila,,{{ubl|Model|Actress}},,,,,30 December 1916,{{death date and age|2006|8|6|1916|12|30|df|=|y}},"[[Calcutta]], [[Bengal Presidency]], [[British Raj|British India]]","[[Mumbai]], [[Maharashtra]], India",,,,File:Pramila (Esther Victoria Abraham).jpg,,[[Haidar Ali (actor)|Haidar Ali]],,,,,,,Esther Victoria Abraham,Indian,,,,
Eunice de Souza,,,,,,,"August 1, 1940","July 29, 2017","Pune, India","Mumbai, India",,,,EuniceDeSouzaPic.jpg,,,,,,,,,Eunice de Souza,,,,,
Evangeline Anderson-Rajkumar,,,,,,,{{birth date|df|=|yes|1963|03|19}},,"[[Bengaluru]], Karnataka",,,,,,,,,,Reverend Doctor,,,"[[United Theological College (Bangalore)|United Theological College]];<br>Master of Theology at [[Tamil Nadu Theological Seminary]] Arasaradi, [[Madurai]];<br>Doctor of Theology from Serampore University;<br>[[South Asia Theological Research Institute]], [[Bengaluru]]",,,,,,
Farha Mather,,,{{IND}},,,,{{birth date and age|df|=|yes|1996|9|17}},,,,,,,,,,,,,,,,,,,,,
Fatima Zakaria,,,,,,[[Rafiq Zakaria]],17 February 1936,{{death_date and age|6 April 2021|17 February 1936}},"[[Bombay]], [[British India]]","[[Aurangabad]], [[Maharashtra]]",,,,,,"4, including [[Fareed Zakaria]]",,,,,[[Padma Shri]] (2006),,,,,,,
Fousiya Mampatta,,,,,,,1968,{{death date and age|2021|02|25|1968|df|=|yes}},"[[Kozhikode]], [[Kerala]], India",,,,,,,,,,,,,,,,,,,
Fowzieh Khalili,,,India,,,,{{Birth date and age|1958|10|10|df|=|yes}},,"[[Madras]](now [[Chennai]]), [[India]]",,,,,,,,,,,,,,,,,,,
G. Rohini,,,,,,,{{Birth date and age|1955|4|14|df|=|yes}},,"[[Visakhapatnam]], [[Andhra Pradesh]], India",,,,,,,,,,,,,,,,,,,
G. S. Ghurye.,,,,,,Sajubai Ghurye.,{{Birth date|df|=|yes|1893|12|12}},{{Death date and age|df|=|yes|1983|12|28|1893|12|12}} {{sfn|Momin|1996|p|=|28}},"[[Malvan]], [[Bombay Presidency]], British India","Bombay, Maharashtra, India {{sfn|Pillai|1997|p|=|101}}",,,,Govind Sadashiv Ghurye.jpg,,,,,,,,,,Indian,,,,
Gadde Ruthvika Shivani,,,{{IND}},,,,{{birth date and age|df|=|yes|1997|3|26}},,"[[Vijayawada]], [[Andhra Pradesh]], India",,,,,"Ruthvika_Shivani_Gadde,_May_2014.jpg",,,,,5,,,,Gadde Ruthvika Shivani,,60 kg (132 lb),{{convert|1.73|m|ftin|abbr|=|on}},,
Gagandeep Kaur,,Archer,,,,,{{birth year and age|1988}},,"[[Patiala]], [[Punjab, India|Punjab]]",,,,,,,,,,,,,,,Indian,,,,
Ganemat Kaur Sekhon,,,,,,,{{birth date and age|df|=|y|2000|11|29}},,"[[Chandigarh]], India",,,,,,,,,,,,,,,{{IND}},,,,
Ganga Bharani Vasudevan,,Blogger; Author,,,,,,,,,,,"A Sip of Love and a Sip of Coffee (2016)''<br />''A Minute to Death (2015)''<br />''Just You, Me and A Secret (2012)''",,{{url|http://gangabharani.com/}},,,,,,,,,,,,,
Garima Chaudhary,,,{{IND}},,,,{{birth date and age|df|=|yes|1990|4|2}},,"[[Meerut]], [[Uttar Pradesh]], [[India]]",,,,,,,,,,,,,,,[[India]]n,{{convert|62|kg|lb|0|abbr|=|on}},,,
Gauri Ayyub,,"Social worker, activist, writer and teacher",,,,Abu Sayeed Ayyub,{{birth date|1931|02|13}},{{death date and age|1998|07|13|1931|02|13}},Patna,Kolkata,,,"Tuchcha Kichu Sukh Dukkha, Door Prodesher Sankirno Path, Ei je Ahana",,,,,,,,,Bankipur Girls' High School,,Indian,,,,
Gauri Deshpande,,"Writer, Poet",,,,,{{birth date|df|=|yes|1942|2|11}},{{death date and age |df|=|yes|2003|3|1|1942|11|2}},"[[Pune]], [[Bombay Presidency]], [[British India]]","[[Pune]], [[Maharashtra]], [[India]]",,,,GauriDeshpandePic.jpg,,,,,,,,"M.A., PhD",,Indian,,,,
Gauri Khan,,{{unbulleted list|[[Film  producer]]|[[Interior designer]]|[[Costume designer]]|[[Fashion designer]]}},,,,{{marriage|[[Shah Rukh Khan]]<br/>|1991}},{{birth date and age|1970|10|08|df|=|y}},,"[[New Delhi]], [[India]]",,,,,Gauri Khan at Hindustan Times India Most Stylish Awards 2019.jpg,,3,,,,,,,Gauri Chhibber,,,,,
Gautami,,{{hlist|Actress|Social worker}},,,,[[Kamal Haasan]]<br>(2004–2016),{{Birth date and age|df|=|yes|1969|07|02}},,"[[Srikakulam]], [[Andhra Pradesh]], [[India]]",,,,,Gauthami.jpg,{{URL|gautamitadimalla.com}},1,,,,,,,Gautami Tadimalla,,,,,
Pullela Gayathri Gopichand,,,India,,,,{{birth date and age|df|=|yes|2003|03|04}},,,,,,,,,,,,,,,,,,,,,
Gayatri Reddy,,"[[Anthropologist]], [[professor]]",,,,,,,,,,Contributions to [[queer]] and [[gender]] studies,,,,,,,,,,"[[Delhi University]] ([[B.A.]]) <br/> [[Columbia University]] ([[M.A.]]) <br/> [[Emory University]] ([[Ph.D.]], [[Master of Public Health|MPH]])",,[[India]]n,,,,
Geeta Dharmarajan,,,,,,,{{birth date|df|=|yes|1948|09|19}},,"[[Chennai]], Tamil Nadu, India",,,,,,www.katha.org,,,,,,"[[Padma Shri]]: 2012<br />
Millinnium Alliance Innovator. Instituted by USAID, Government of India and FICCI, 2013 Stockholm Challenge: 2001",,Geeta Krishnaswamy,,,,,
Geeta Kumari Phogat,,,India,,,{{Marriage|[[Pawan Kumar (wrestler)|Pawan Kumar]]|2016}},{{Birth date and age|1988|12|15|df|=|y}},,"[[Balali]], [[Haryana]], India",,,,,Geeta Phogat At Khatron Ke Khiladi Season 8.png,,,,,,,,,Geeta,{{flagicon|India}} [[Indian people|Indian]],62 kg,5 ft 4 in,,
Geeta Vadhera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geethu Anna Jose,,,,,,Rahul Koshy,{{birth date and age|df|=|yes|1985|6|30}},,"[[Changanasserry]], [[Kottayam]], India",,,,,Geethuanna.jpg,[http://www.geethuannajose.co.nr/ geethuannajose.co.nr],,,,,,,,,Indian,,,,
Geetika Jakhar,,,[[India]],,,,,,"[[Agroha (town)|Agroha]], [[Haryana]], [[India]]",,,,,"Geetika Jakhar Arjuna Award August 29, 2007.jpg",,,,,,,,,,Indian,63 Kg,159 cm,,
Girijabai Madhav Kelkar,,Feminist and writer,,,,,1886,1980,,,,,,,,,,,,,,,,Indian,,,,
Gita Gopinath,,,,,,,{{birth date and age|df|=|y|1971|12|8}},,"[[Kolkata]], [[India]]",,,,,"Gita Gopinath, 2012 (cropped).jpg",,,,,,,,"{{ubl|[[University of Delhi]] |small|([[Bachelor of Arts|BA]], [[Master of Arts|MA]])|[[University of Washington]] |small|([[Master of Arts|MA]])|[[Princeton University]] |small|([[Doctor of Philosophy|PhD]])}} {{small|([[Bachelor of Arts|BA]], [[Master of Arts|MA]])}} {{small|([[Master of Arts|MA]])}} {{small|([[Doctor of Philosophy|PhD]])}}",,United States,,,,
Gita Mehta,,"[[Author]], [[documentary filmmaker]], [[journalist]], [[Film director|director]]",,,,[[Sonny Mehta]] (1965–2019),{{birth year and age|1943}},,"[[Delhi]], [[British Raj|British India]]",,,,''[[Karma Cola]]'' (1979)<br />''[[A River Sutra]]'' (1993)<br />''[[Eternal Ganesha (book)|Eternal Ganesha]]'' (2006),,,,,,,,,,,[[Demographics of India|Indian]],,,,
Githa Hariharan,,Writer,,,,,{{Birth year and age|1954}},,"[[Coimbatore]], [[Tamil Nadu]]",,,,,Keralaliteraturefestival 08775.JPG,,,,,,,,,,,,,,
NASIKWALA Gool,,,,,,,,,,,,,,,,,,,,,,,,{{IND}},,,,
Gopaler Ma,,Housewife,,,,,1822,{{Death date|df|=|yes|1906|07|08}},"[[Kamarhati]], [[Calcutta]]",[[Calcutta]],,Spiritual devotion,,Gopaler-Ma t.jpg,,,Aghoremani Devi,,,,,,Aghoremani Devi,[[India]],,,,
Gouher Sultana,,,India,,,,{{Birth date and age|1988|3|31|df|=|yes}},,"[[Hyderabad]], [[Andhra Pradesh]], [[India]]",,,,,"Gouher Sultana (10 March 2009, Sydney).jpg",,,,,,,,,,,,,,
'''Gouri Dharmapal''',,,,,,Gautam Dharmapal,1927/1928,,,,,"Poet, [[Sanskrit]] Scholar, Former Sanskrit Head of Department in [[Lady Brabourne College]], Kolkata",''The Linguistic Atom'',,,,,,,,"Certificate of Honour by the President of India, 2010",,,Indian,,,,
Gowri Ishwaran,,Educationist,,,,,,,India,,,"[[Sanskriti School]], [[The Global Education & Leadership Foundation]]",,,,,,,,,[[Padma Shri]],,,,,,,
Grace Dangmei,,,,,,,{{birth date and age|1996|2|5|df|=|y}},,"Dimdailong, [[Churachandpur district|Churachandpur]], [[Manipur]], india",,,,,,,,,,,,,,,,,,,
Gujarati,,,,,,,,,,,,,,Gujarati Script Sample.svg,,,,,,,,,,,,,,
Gulab Kaur,,[[Gadrite]] freedom fighter,,,,,,,"village [[Bakshiwala]], [[Sangrur]] district, [[Punjab Province (British India)|Punjab]], [[India]]",,,,,Gulab Kaur (circa1890-1931).jpg,,,,,,,,,Gulab Kaur,Indian,,,,
Gulbadan Begum,,,,[[Babur]],Dildar,Khizr Khan,{{circa}} 1523,{{death date and age|1603|2|7|1523|df|=|yes}},"[[Kabul]], [[Afghanistan]]","[[Agra]], [[India]]",,,,Gg8u382h.png,,,,,[[Shahzadi]] of the [[Mughal Empire]],,,,,,,,,
Gurjit Kaur,,,,,,,{{Birth date and age|1995|10|25|df|=|y}},,"[[Punjab, India|Punjab]], [[India]]",,,,,,,,,,,,,,,,59 kg,1.67 m,,
Gurmayum Anita Devi.,,,,,,,,,,,,,,,,,,,,,,,,[[Indian people|Indian]],,,,
Gurumayum Radharani Devi,,,,,,,{{birth date and age|df|=|yes|1991|3|1}},,"[[Imphal]], [[Manipur]], India",,,,,,,,,,,,,,,,,,,
Habba Khatoon,,,,Abdi Rather,Janam,"{{plainlist|
*|marriage|Aziz Jan|reason|=|divorced|
*[[Yousuf Shah Chak]]}} {{marriage|Aziz Jan|reason|=|divorced}} *[[Yousuf Shah Chak]]",{{Birth year|1554}},{{Death year and age|1609|1554}},"[[Chandhara|Chandhur]], [[Pampore]], [[Kashmir]]",[[Kashmir]],,,,,,,,,The Nightingale of Kashmir,,,,Zoon,,,,,
Haku Shah,,,,,,,{{Birth date|df|=|yes|1934|03|26}},{{Death date and age|df|=|y|2019|3|21|1934|03|26}},"[[Valod]], [[Gujarat]], India",,,"Painting, [[tribal art]], writer",,,,,,,,,[[Padma Shri]] (1989),,Haku Vajubhai Shah,Indian,,,,
Hamida Habibullah,,"Parliamentarian, educationist and social worker",,Nawab Nazir Yar Jung,,[[Ibrahim Habibullah | Enaith Habibullah]],{{Birth date|1916|11|20|df|=|yes}},{{death date and age|2018|3|13|1916|11|20|df|=|yes}},"[[Lucknow]], [[United Provinces of Agra and Oudh]], [[British Raj|British India]]","[[Lucknow]], [[Uttar Pradesh]], [[India]]",,,,,,,,,,,,,,,,,,
Hansa Jivraj Mehta,,,,[[Manubhai Mehta]],,[[Jivraj Narayan Mehta]],{{Birth date|1897|07|03|df|=|y}},{{Death date and age|1995|04|04|1897|07|03|df|=|y}},[[Baroda state]],,,,,HansaJivrajMehtaPic.jpg,,,,,,,,,,,,,,
