Full Name,Description,Job,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Reason,Known for,Notable Work,Image,Website,Children,Native Name,Signature,Title,Honours,Awards,Education,Birth Name,Nationality,Weight,Height,Eye Color,Hair Color
Girija Lokesh,,"Actress, film producer",,,,[[Lokesh]] (1975–2004),{{birth date and age|1951|01|10}},,,,,,,,,[[Pooja Lokesh]]<br/>[[Srujan Lokesh]],,,,,,,,Indian,,,,
Girija Shettar,,Actress<br />Journalist<br />Philosopher<br />Dancer,,,,,{{Birth date and age|df|=|yes|1969|7|20}},,"[[Orsett]], Essex, England",,,,,Girija Shettar.jpg,,,,,,,,,,,,,,
Giselli Monteiro,,"Model, actress",,,,,{{birth date and age|df|=|yes|1988|11|16}},,"[[Espirito Santo]], [[Brazil]]",,,,,Giselli inega.jpg,,,,,,,,,,,,,,
Gitanjali Rao,,"Film director, animator, actor",,,,,,,[[Mumbai]],,,''[[Printed Rainbow]]''<br />''[[True Love Story (film)|True Love Story]]'',,,,,,,,,,,,Indian,,,,
Gopika,,"Actress, model",,,,Ajilesh Chacko <br>(m.2008–present),{{birth date and age|df|=|yes|1984-02-01}},,"[[Ollur, Thrissur, Kerala]], India",,,,,Gopika 2008.jpg,,"Amy, Aiden",,,,,,,,,,,,
Gowri Munjal,,Actress,,,,,{{Birth date and age|1985|08|09|df|=|y}},,"[[New Delhi]], [[India]]",,,,,,,,,,,,,,,,,{{convert|1.62|m|0|abbr|=|on}},,
Gaurie Pandit,,"Actress, model",,,,{{marriage| [[Nikhil Dwivedi]]|2011}},12 September 1982,,"New Delhi, India",,,,,Gowri_Pandit.jpg,,,,,,,,,,,,,,
Gul Panag,,"[[Actress]], [[voice actress]], [[Model (person)|model]], [[politician]]",,,,{{marriage|Rishi Attari|2011}},{{birth date and age|df|=|yes|1979|1|3}},,"[[Chandigarh]], India",,,,,Gul LFW-2017.jpg,http://www.gulpanag.net,,,,,,,,,,,{{convert|5|ft|6|in|m|2|abbr|=|on|lk|=|off}},,
Gunjan Malhotra,,Actress,,,,,,,,,,,,,,,,,,,,,,[[Indian People|Indian]],,,,
Halitha Shameem,,[[Film director]]<br />[[Screenwriter]]<br />[[Film Editing]],,,,,,,"September 12, [[Dharapuram]], [[Tamil Nadu]], [[India]]",,,,,Halitha Shameem.jpg,,,,,,,,,,,,,,
Hansika Motwani,,[[Actress]],,,,,{{birth date and age|df|=|yes|1991|8|9}},,"[[Bombay]], [[Maharashtra]], India",,,,,Hansika Motwani celebrates her birthday at Arth Bar (06).jpg,,,,,,,,,,,,,,
Haobam Ongbi Ngangbi Devi,,"Classical dancer, musician",,,,Haobam Amuba Singh,1 August 1924,12 June 2014,"Uripok Bachaspati Leikai, [[Imphal]], [[Manipur]], India",[[Imphal]],,,,,{{URL|Official web site}},,,,,,[[Padma Shri]]<br>[[Government of Assam]] Birangana<br>[[Government of Manipur]] Gold Medal<br>Manipur State Kala Akademi Award<br>Nirtya Bhushan Award<br>[[Sangeet Natak Akademi Award]],,,,,,,
Harini,,"Actress, Producer",,,,,,,,,,,,,,,,,,,,,,Indian,,,,
Hariprriya,,Actress,,,,,{{birth date and age|df|=|y|1991|10|29}},,,,,,,Hariprriya Image.jpg,,,,,,,,,,Indian,,,,
Harshika Poonacha,,Actress,,,,,{{Birth-date and age|1 May 1993}},,"[[Ammathi]], [[Kodagu District]], [[Karnataka]], India",,,,,,{{URL|http://actressharshika.com}},,,,,,,,,,,,,
Hasleen Kaur,,"[[Model (person)|Model]], [[Actress]]",,,,Amber Rana - Dec 2018,,,"[[Binnaguri]], [[West Bengal]], India",,,,,,,,,,[[Femina Miss India|Femina Miss India Earth 2011]],,,,,,{{convert|54|kg|lb st|abbr|=|on}},{{convert|5|ft|11|in|m|abbr|=|on|disp|=|flip}},,
Hazel Keech,,{{hlist|Model|Actress}},,,,{{Marriage|[[Yuvraj Singh]]|2016}},{{Birth date and age|1987|2|28|df|=|yes}},,"[[Essex]], [[England]], United Kingdom",,,,,Hazel Keech at the launch of 'Dongri To Dubai' book (1).jpg,,,,,,,,,,[[British people|British]]<br/>[[Mauritian]],,,,
Hebah Patel,,{{hlist|Film actress|model}},,,,,{{birth date and age|df|=|yes|1989|01|06}},,"[[Bombay]], [[Maharashtra]], India",,,,,Hebah Patel Personal photoshoot.jpg,,,,,,,,,,,,,,
Helen,,[[Actress]]<br />[[Dancer]],,,,{{marriage | Prem Narayan Arora | 1957 | 1974 |reason|=|divorced}} <br> {{marriage|[[Salim Khan]]|1981}},{{birth date and age|df|=|y|1938|11|21}},,"[[Rangoon]], [[British rule in Burma|British Burma]] (present-day [[Yangon]], [[Myanmar]])",,,,,Helen at Kallista Spa opening.jpg,,,,,,[[Padma Shri]] (2009),[[Filmfare Award for Best Supporting Actress]]<br /> [[Filmfare Lifetime Achievement Award]],,,[[India]]n,,,,
Hema V. Bellur,,{{hlist|Film actress|drama|television artist}},,,,,,,"[[Belluru, Karnataka]], Karnataka, India",,,,,,,,,,,,,Diploma in airlines travel and tourism management,,,,,,
Hema Malini,,{{hlist|[[Actor|Actress]]|[[Film producer]]|[[Film director]]|[[Writer]]|[[Dance]]r|[[Politician]]}},,,,,{{Birth date and age|1948|10|16|df|=|yes}},,"[[Ammankudi (Orathanadu)|Ammankudi]], [[Madras State]], [[ India]]",,,,,Hema malini bhungama1.jpg,,2 (including [[Esha Deol]])<br/>4 step-children (including [[Sunny Deol]] and [[Bobby Deol]]),,,,,[[Padma Shri]] (2000),,,,,,,
Hema Prabhath,,"Actress, dancer ([[Bharatanatyam]])",,,,"{{Plainlist|
*Prashanth Gopala Shastry (Sumanth)|ref| name="":2""|}}",,,India,,,,,,,2,,,,,,,,Indian,,,,
Hemal Trivedi,,"Director, editor, producer",,,,,,,"[[Maharashtra]], [[India]]",,,,,,,,,,,,,,,,,,,
Hiba Nawab,,{{hlist|Actress|model}},,,,,14 November 1996<br>(age 24),,"[[Bareilly]], [[Uttar Pradesh]], [[India]]",,,,,Hiba Nawab at Dadasaheb Phalke Film Foundation 2018 awards (cropped).jpg,,,,,,,,,,[[India]]n,,,,
Hina Khan,,{{hlist|[[Actress]]|[[Model (person)|Model]]}},,,,,{{birth date and age|df|=|yes|1987|10|02}},,"[[Srinagar]], [[Jammu and Kashmir (state)|Jammu and Kashmir]], [[India]]",,,"{{ubl|''[[Yeh Rishta Kya Kehlata Hai]]''|''[[Kasautii Zindagii Kay (2018 TV series)|Kasautii Zindagii Kay 2]]''|''[[Bigg Boss (Hindi season 11)|Bigg Boss 11]]''|
''[[Fear Factor: Khatron Ke Khiladi 8]]''}}",,Hina Khan snapped at Malad.jpg,,,,,,,,,,,,,,
Honey Rose,,[[Actress]],,,,,,,,,,,,Honey Rose 2019.jpg,,,,,,,,,,,,,,
Hrishitaa Bhatt,,"[[Actress]], [[Model (people)|model]]",,,,{{marriage|Anand Tiwari|2017}},{{Birth date and age|df|=|yes|1981|05|10}},,"[[Mumbai]], [[Maharashtra]], [[India]]",,,,,Hrishitaa Bhatt during trailer launch of the film 'Chal Jaa Bapu'.jpg,,,,,,,,,,Indian,,,,
Huma Qureshi,,"{{Flatlist|
*Actress
*model}}",,,,,{{birth date and age|df|=|yes|1986|07|28}},,"[[New Delhi]], India",,,,,Huma Qureshi graces the HT Style Awards 2018.jpg,,,,,,,,,,,,,,
Humaima Malick,,"[[Model (person)|Model]], [[Actress]]",,,,{{marriage | [[Shamoon Abbasi]] | 2009 |2010|reason|=|divorced}},{{birth date and age|df|=|y|1987|11|18}},,"[[Quetta]], [[Balochistan, Pakistan]]",,,,,"Humaima Malick in Sydney, Australia (26 Nov 2012).jpg",,,{{lang|ur|Nastaliq|حمائمہ ملک}} {{Nastaliq|حمائمہ ملک}},,,,,,,[[Pakistani]],,,,
Indira Nath,,,,,,,{{Birth date and age|df|=|yes|1938|01|14}},,,,,"Immunology research, Leprosy eradication in India",,,,,,,,,"[[Padma Shri]], 
[[L'Oréal-UNESCO Awards for Women in Science|L'Oreal-UNESCO award for Women in Science]]
[[Shanti Swarup Bhatnagar Award]]",,,Indian,,,,
Indrani Haldar,,Actress,,,,Bhaskar Roy<br>Amarendraa Ghosh,{{birth date and age|df|=|yes|1971|01|6}},,"[[Kolkata]], [[West Bengal]], [[India]]",,,,,Indrani Haldar.jpg,,,,,,,,,,,,168 cm,,
Indrani Pal-Chaudhuri,,{{Hlist | Film director | photographer | writer | producer | Director of education foundation | former model and actress | public speaker | academic lecturer}},,,,,{{Birth year and age|1983}},,"[[Kolkata]], West Bengal, India",,,,,Indrani Pal-Chaudhuri at Tribeca Disruptive Innovation Awards.jpg,{{URL|indrani.com}},,,,,,{{Blist | Max Mark-Cranbrook 2019 Global Peace Maker | United Nations 2018 Women's Entrepreneurship Distinguished Fellowship | Tribeca Film Festival 2019 Disruptive Innovation Award | Best Picture at the CNN 2018 Expose Award}},[[Princeton University]] ([[Cultural Anthropology]]),,{{Hlist | Indian | Canadian | British}},,,,
Ineya,,{{hlist|Actress|model}},,,,,{{birth-date and age|21 January 1991}},,"[[Trivandrum]], [[Kerala]], India",,,,,Iniya W.jpg,,,,,,,,,,,,,,
Iravati Harshe Mayadev,,"Actor, dubbing artist",,,,Capt. Rohit Mayadev,,,,,,,,"{{CSS image crop
|Image |=| The Directors Sumitra Bhave & Sunil Sukthankar and Actress Iravathi Harshe of the film KAASAV, at the presentation, during the 48th International Film Festival of India (IFFI-2017), in Panaji, Goa on November 26, 2017.jpg
|bSize |=| 600
|cWidth |=| 200
|cHeight |=| 250
|oTop |=| 40
|oLeft |=| 125
|Location|=|center}}",,Devika and Isha,,,,,,,,,,,,
Isha Chawla,,Actress,,,,,{{birth date and age|df|=|yes|6 March 1988}},,"[[Delhi]], India",,,,,Isha_Chawla.jpg,,,,,,,,,,,,,,
Isha Koppikar,,Actress • Model • Politician,,,,{{married|Timmy Narang|2009}},{{Birth date and age|df|=|yes|1976|09|19}},,"[[Mumbai|Bombay]], [[Maharashtra]], [[India]]",,,,,Eesha Koppikhar at 'Junnon' charity match (10).jpg,,1,,,,,,,,,,,,
Isha Sharvani,,{{Hlist|Dancer|actress}},,,,,{{birth date and age|df|=|yes|1984|09|29}},,"[[Gujarat]], India",,,,,Isha sharwani go green initiative.jpg,{{url|ishasharvani.com}},,,,,,,,,,,,,
Isha Talwar,,{{hlist|Actress|model}},,,,,{{birth date and age|df|=|yes|1987|12|22}},,"[[Mumbai]], [[Maharashtra]], India",,,[[Mirzapur (TV series)]],,Isha Talwar 60th Filmfare Awards South (cropped).jpg,,,,,,,,,,,,,,
Ishita Dutta Sheth,,Actress,,,,{{marriage|[[Vatsal Sheth]]|2017}},{{birth date and age|1990|08|26|df|=|y}},,"[[Jamshedpur]], [[Bihar]], (now [[Jharkhand]]), India",,,,,Ishita Dutta at the Club in Andheri (01).jpg,,,,,,,,,,,,,,
Ishita Raj Sharma,,{{unbulleted list|[[actor|Actress]]|[[Model (person)|Model]]}},,,,,{{birth date and age|1990|7|12|df|=|yes}},,"[[Mumbai]], [[India]]",,,''[[Pyaar Ka Punchnama]]'' [[Pyaar Ka Punchnama 2]],,Ishita Raj Sharma graces the success bash of the film Sonu Ke Titu Ki Sweety (09) (cropped).jpg,,,,,,,,,,[[India|Indian]],,,,
Izabelle Leite,,"Actress, model",,,,,{{birth date and age|df|=|yes|1990|09|01}},,"[[João Pessoa, Paraíba|João Pessoa]], [[Paraíba]], [[Brazil]]",,,,,Izabelle Leite.jpg,,,,,,,,,,,,,,
J. Jayalalithaa,,,,,,,{{Birth date|df|=|yes|1948|02|24}},{{Death date and age|2016|12|05|1948|02|24|df|=|yes}},"[[Melukote]], [[Mysore State]], [[Dominion of India]]<br />(present day [[Karnataka]], [[India]])","[[Chennai]], [[Tamil Nadu]], [[India]]",[[Cardiac Arrest]],,,J Jayalalithaa.jpg,,,,Jayalalithaa Signature.svg,,,"* [[Honorary Doctorate]] (1991)
* [[Kalaimamani]] (1972)",,,[[Indian people|Indian]],,,,
Jacqueline Fernandez,,{{hlist|[[Actor|Actress]]|[[Model (people)|model]]}},,,,,{{birth date and age|df|=|yes|1985|08|11}},,"[[Manama]], [[Bahrain]]",,,,,Jacqueline Fernandez in 2019.jpg,,,,,,,,,,[[Bahrain]]i<br>[[Sri Lanka]]n,,,,
Jamuna,,"Actor, politician",,,,{{marriage|Juluri Ramana Rao|1965|2014|end|=|d.}},{{birth date and age|1936|8|30|df|=|yes}},,"[[Hampi]], [[Madras Presidency]], [[British India]] (present-day [[Karnataka]], India)",,,,,Jamuna Telugu Actress.jpg,,"2, including [[Vamsee Juluri]]",,,,,,,,,,,,
Janaki Ammal,,,,,,,{{Birth date|df|=|yes|1897|11|4}},{{Death date|df|=|yes|1984|2|7}} (aged 86),"[[Tellicherry]], [[Madras Presidency]], [[British India]]","[[Madras]], Tamil Nadu",,,,Janaki Ammal.jpg,,,,Janaki_Ammal's_signature.png,,,[[Padma Shri 1977]],,,Indian,,,,
Janhvi Kapoor,,Actress,,,,,{{Birth date and age|df|=|yes|1997|03|6}},,"[[Mumbai]], [[Maharashtra]], India",,,,,Janhvi Kapoor at Lakme Fashion Week 2018 – Day 4 (12) (cropped).jpg,,,,,,,,,,,,,,
Jannat Zubair Rahmani,,Actress,,,,,{{birth date and age|2001|08|29|df|=|yes}},,"[[Mumbai]], India",,,,,Jannat Zubair Rahmani in 2K19.jpg,,,,,,,"[[Gold Awards]]
(2018)",,,,,,,
Jasmin Bhasin,,{{hlist|[[Actress]]|[[Model (person)|Model]]}},,,,,{{birth date and age|1990|6|28|df|=|yes}},,"[[Kota, Rajasthan|Kota]], [[Rajasthan]], [[India]]",,,{{Ubl | ''[[Tashan-e-Ishq]]'' | ''[[Dil Se Dil Tak]]'' | ''[[Fear Factor: Khatron Ke Khiladi 9]]'' |''[[Bigg Boss (Hindi season 14)|Bigg Boss 14]]''}},,Jasmin Bhasin graces the Zee Rishtey Awards (02) (cropped).jpg,,,,,,,,,,,,,,
Jaya Bachchan,,{{hlist|Actress|politician}},,,,{{marriage|[[Amitabh Bachchan]]|1973}},{{birth date and age|1948|04|09|df|=|y}},,"[[Jubbulpore]], [[Central Provinces and Berar]], [[Dominion of India|India]] <br /> (present-day [[Madhya Pradesh]], [[India]])",,,,,Jaya B Big B’s birthday.jpg,,[[Shweta Bachchan Nanda]] <br/> [[Abhishek Bachchan]],,Signature of Jaya Bachchan.svg,,,• 9 [[Filmfare Awards]]<br/>• [[Padma Shri]] (1992),,,,,,,
Jaya Prada,,"Actress, politician",,,,{{marriage|Srikanth Nahata|1989}},{{birth date and age|df|=|yes|1962|04|03}},,"[[Rajahmundry]], [[Andhra Pradesh]], India",,,,,Jaya Prada graces Perfect Pati TV serial launch (03) (cropped).jpg,,2 son {{small|(adopted)}},,,,,,,,,,,,
Jaya Seal,,Actress,,,,[[Bickram Ghosh]],{{Birth date and age|1979|02|19|df|=|y}},,"[[Guwahati]], [[India]]",,,,,,,,,,,,,,,Indian,,,,
Jayabharathi,,,,,,{{marriage|[[Sathaar]]|1979|2019}},,,"[[Erode]], Tamil Nadu",,,,,,,Krish J.Sathaar,,,,,,,,,,,,
Jayachitra,,Actress,,,,Ganesh (m.1983-2020)(his death),{{Birth date and age|df|=|yes|1957|09|09}},,"[[Chennai]], Tamil Nadu, India",,,,,,,[[Amresh Ganesh]] (b.1988),,,,,,,,,,,,
Jayamala,,,,,,{{marriage|[[Tiger Prabhakar]]|1985|1988| end|=|divorce}} <br/> {{marriage|H.M. Ramachandra|1990}},{{birth date and age|df|=|yes|1955|09|16}},,Mangalore,,,,,Jayamala.jpg,,Soundarya Prabhakar (b.1986),,,,,,,,,,,,
Jayamalini,,Actress,,,,Parthiban (m. 1994),{{Birth date and age|1958|12|22|df|=|y}},,"[[Chennai]], [[Tamil Nadu]], India",,,,,,,1,,,,,,,,,,,,
Jayasree Bhattacharyya,,"Director, Creative Director, Casting Director",,,,,{{birth date and age|1970|10|14|df|=|y}},,Kolkata,,,,"Pati Parameshwar, Binisutormala, The Mat ( Madur)",Jayasree Bhattacharyya.jpg,,,,,,,,,,Indian,,,,
'''Jayasudha''',,{{hlist | Actress | politician}},,,,{{Marriage|[[Nitin Kapoor]] |1985|2017|reason|=|his death}},{{birth date and age|df|=|yes|1958|12|17}},,"Madras, [[Madras State]], India<br/>(now [[Chennai]], [[Tamil Nadu]])",,,,,,,2,,,,,,,,,,,,
Jayati Ghosh,,,,,,[[Abhijit Sen]],{{birth date and age|df|=|yes|1955|9|16}},,,,,,,Jayati Ghosh.jpg,,,,,,,,,,,,,,
Jeevitha Rajasekhar,,{{hlist|Actress|director|producer}},,,,{{marriage|[[Rajasekhar (actor)|Rajasekhar]]|1991}},{{Birth date and age|df|=|yes|1966|05|24}},,,,,,,"Jeevitha on October 26, 2015.jpg",,Shivani <br> Shivatmika,,,,,,,,,,,,
Jennifer Kotwal,,"Actress, model",,,,,{{birth-date and age|14 August 1983}},,,,,,,Jennifer Kotwal.jpg,,,,,,,,,,,,,,
Jennifer Winget,,Actress,,,,{{marriage|[[Karan Singh Grover]]|2012|2014|reason|=|divorced}},{{Birth date and age|df|=|yes|1985|5|30}},,"[[Bombay]], [[Maharashtra]], India",,,,,Jennifer Winget at the 25th SOL Lions Gold Awards 2018 (15) (cropped).jpg,,,,,,,,,,,,,,
Jharana Bajracharya,,"Actress, [[Model (person)|model]], [[Painting|painter]]",,,,"Warren Carrer(ex)
Rahul Agrawal {{small|(March 15 |ndash| present)}} {{ndash}} present)",1981,,"[[Kathmandu]], Nepal",,,[[Miss Nepal]] 1997,,,,,,,,,,"{{flat list|
*Siddhartha Vanasthali Institute
*Sociology (Degree)}}",,Nepalese,,,,
Jhataleka Malhotra,,{{hlist|Model|student}},,,,,,,,,,,,Jhataleka Malhotra.jpeg,,,,,[[Femina Miss India 2014|Femina Miss India International 2014]] (1st Runner-up),,,,,,,,,
Jiah Khan,,Actress,,,,,{{Birth date|df|=|yes|1988|02|20}},{{Death date and age|df|=|yes|2013|06|3|1988|02|20}},"[[New York City]], U.S.","[[Mumbai]], [[Maharashtra]], India",,,,Jiah Khan at Stardust Awards 2013.jpg,,,,,,,,,,[[British people|British]]-[[American people|American]],,,,
Joyoti Basu,,,,,,,{{Birth date and age|df|=|yes|1957|12|17}},,"[[West Bengal]], India",,,Studies on interaction of mycobacteria with host macrophages,,,,,,,,,{{ublist| 1989&nbsp;[[Indian National Science Academy|INSA]] Young Scientist Medal | 2002&nbsp;[[National Bioscience Award for Career Development|N-BIOS Prize]]}},,,[[Indian nationality|Indian]],,,,
Juhi Babbar,,Actress,,,,{{marriage|[[Bejoy Nambiar]]|2007|2009|reason|=|divorce}} <br/> {{marriage|[[Anup Soni]]|2011}},,,"[[Lucknow]], Uttar Pradesh, India",,,,,Juhi Babbar at wedding reception of Prateik Babbar 2019.jpg,,,,,,,,,,Indian,,,,
Juhi Chawla,,[[Actress]]<br>[[Film producer]]<br>[[Entrepreneur]],,,,{{marriage|[[Jay Mehta]]|1995}},{{birth date and age|df|=|yes|1967|11|13}},,"[[Ambala]], [[Haryana]], [[India]]",,,,[[Juhi Chawla filmography|Full list]],Juhi Chawla LFW-2017.jpg,,2,,,,,[[List of awards and nominations received by Juhi Chawla|Full list]],,,,,,,
Jyothika,,Actress,,,,{{marriage| [[Suriya]] | 2006}},{{birth date and age|df|=|yes|1977|10|18}},,"[[Bombay, Maharashtra]], India (now Mumbai)",,,,,Jyothika Filmfare 2014.jpg,,2,,,,,,,,,,,,
Jyoti Hegde,,Musician,,,,G.H. Hegde,,,"[[Sirsi, Karnataka|Sirsi]], [[Karnataka]]",,,,,,http://www.jyotihegde.com,1,,,,,,,,,,,,
Jyoti Kapur Das,,Film director<br>Screenwriter,,,,,,,,,,,,,,,,,,,,,,Indian,,,,
Jyotsna Srikanth,,,,,,,,,[[Bangalore]],,,"[[Carnatic music]],  [[Western culture#Music|Western music]]",,Jyotsna Srikanth.jpg,,,,,,,,,,[[India]],,,,
K. R. Vijaya,,Actress,,,,Sudarshan Velayuthan <br>(m.1966; died on 2016),{{birth date and age|df|=|yes|1948|11|30}},,"[[Chennai]], [[Tamil Nadu]], [[India]]",,,,,,,Hemalatha (b.1967),,,,,,,,,,,,
K. P. A. C. Lalitha,,Actress,,,,{{marriage|[[Bharathan]]|1978|1998|reason|=|death}},{{Birth date and age|df|=|yes|1947|03|10}},,"Aranmula, [[Pathanamthitta, Kerala]], India",,,,,,{{URL|http://kpaclalitha.in}},"2, including [[Sidharth Bharathan|Sidharth]]",,,Chairperson of Kerala Sangeetha Nadaka Academy,,"[[National Film Awards]] (1990, 2000)",,,,,,,
Kainaat Arora,,"Actress, model",,,,,{{Birth date and age|1986|12|02|df|=|y}},,"[[Saharanpur]], [[Uttar Pradesh]], [[India]]",,,,,Kainaat Arora.jpg,,,,,,,,,,,,,,
Kajal Aggarwal,,{{hlist|Model|actress}},,,,{{marriage|Gautam Kitchlu|2020}},{{Birth date and age|1985|06|19|df|=|y}},,"[[Bombay]] (now [[Mumbai]]), [[Maharashtra]], India",,,,,Kajal Aggarwal on the sets of Queen Kannada remake.jpg,,,,,,,,,,,,,,
Kajal Kiran,,Actress,,,,,{{Birth-date and age|18 October 1958}},,"[[Mumbai]], India",,,,,,,,,,,,,"St. Joseph’s High School, [[Mumbai]], [[India]]",,[[India]]n,,,,
Jahanara Kajjan,,singer/actress,,,,,15 February 1915,{{Death date and age|1945|12|1915|02|15|df|=|y}},"Patna, Bihar (British India)","[[Bombay, Maharashtra]], India",,,,Kajjanbai-pic.jpg,,,,,,,,,,,,,,
Kajol,,Actress,,,,{{marriage|[[Ajay Devgn]]|1999}},{{birth date and age|df|=|yes|1974|08|05}},,"[[Bombay]], [[Maharashtra]], India",,,,[[Kajol filmography|Full list]],Kajol promoting Tanhaji in 2019 (cropped).jpg,,2,,,,[[Padma Shri]] (2011),[[List of awards and nominations received by Kajol|Full list]],,,,,,,
Kala,,Dance choreographer<br/>reality television judge,,,,Govindarajan (m.1997; div.1999) <br/> Mahesh (m.2004 – present),{{birth date and age|df|=|yes|1971|04|25}},,"Chennai, India",,,,,,,Vidyuth (b.2007),,,,,,,,[[Indian people|Indian]],,,,
Kalki Koechlin,,{{hlist|Actress|writer}},,,,{{married|[[Anurag Kashyap]]|2011|2015|reason|=|divorced}},{{Birth date and age|df|=|yes|1984|01|10}},,"[[Pondicherry]], India",,,,,Kalki Koechlin launches beautifulhomes.jpg,,1,,,,,,,,,,,,
Kalpana Mohan,,Actress,,,,,{{Birth date|df|=|y|1946|7|18}},{{Death date and age|df|=|yes|2012|01|04|1946|07|18}},"[[Srinagar]], [[Jammu and Kashmir (princely state)|Jammu and Kashmir]], [[British India]]","Pune, Maharashtra",,''[[Professor (1962 film)|Professor]]'',,Kalpana-Mohan-pic.jpg,,,,,,,,,,,,,,
Kalpana,,Actress,,,,"B. N. Viswanath, Gudigeri Basavaraj",18 July 1943 {{citation needed|date|=|January 2016}},{{death date and age |1979|5|12 |1943|7|8 |df|=|yes}} {{citation needed|date|=|May 2018}},"[[Dakshina Kannada]], [[State of Mysore]], [[British India]]","[[Sankeshwar]], [[Karnataka]], [[India]]",,,,Kannada actress Kalpana.jpeg,,,,,,,,,,,,,,
Kalpana,,Film actress,,,,{{Marriage|[[Anil Kumar (film director)|Anil Kumar]]|1998|2012|reason|=|divorce}},{{birth date|1965|10|05|df|=|yes}},{{death date and age|2016|01|25|1965|10|05|df|=|yes}},"[[Thiruvananthapuram district|Thiruvananthapuram]], [[Kerala]], India","[[Hyderabad]], [[Telangana State|Telangana]], India",,,,Malayalam actress Kalpana.jpeg,,1,,,,,,,,[[India]]n,,,,
Kalpana Iyer,,Actress • singer • model,,,,,{{birth date and age|df|=|yes|1956|4|17}},,"[[Bombay]], [[Bombay State]], [[India]]",,,,,,,,,,,,,,,,,,,
Kalpana Kartik,,[[Actress]],,,,{{marriage|[[Dev Anand]]|1954|2011|end|=|died}},{{birth date and age|df|=|y|1931|08|19}},,"[[Lahore]], [[Punjab Province (British India)|Punjab]], [[British Raj|British India]] (present-day [[Punjab, Pakistan|Punjab]], [[Pakistan]])",,,,,Kalpana Karthik.jpg,,2; including [[Suneil Anand]],,,,,,,,,,,,
Kalpana Lajmi,,Filmmaker,,,[[Lalita Lajmi]],,{{birth year|1954}},{{death year and age|2018|1954}},,,,,,Kalpana_Lajmi_at_Bhupen_Hazarika_tribute.jpg,,,,,,,,,,,,,,
Kamal Ranadive,,,,,,Jayasing Trimbak Ranadive,8 November 1917,{{death year and age|2001|1917}},"[[Pune]], [[Maharashtra]], India",,,Pioneering cancer research,,Kamal Ranadive.jpg,,,,,,,[[Padma Bhushan]],,,Indian,,,,
Vidushi Dr.Kamala Shankar,,Musician/[[indian slide guitar player]]/[[classical vocal]],,,,,{{Birth date and age|df|=|yes|1966|12|05}},,,,,,,Vidushi_Dr.Kamala_Shankar.jpg,{{url|drkamalashankar.com}},,,,,,,,,,,,,
Kamalinee Mukherjee,,[[Film actress]],,,,,{{Birth date and age|df|=|yes|1984|3|4}},,"[[Kolkata]], [[West Bengal]], [[India]]",,,,,Kamalinee-Mukherjee.jpg,,,,,,,,,,,,,,
Kamini Kaushal,,"Actress, producer",,,,,{{birth date and age|df|=|yes|1927|1|16}},,"[[Lahore]], [[Punjab Province (British India)|Punjab]], [[British India]]<br/>(now in [[Pakistan]])",,,,''[[Neecha Nagar]]'' (1946)<br>''[[Shaheed (1948 film)|Shaheed]]'' (1948)<br>''[[Nadiya Ke Paar (1948 film)|Nadiya Ke Paar]]'' (1948)<br>''[[Biraj Bahu]]'' (1954)<br>''[[Shaheed (1965 film)|Shaheed]]'' (1965),Kamini Kaushal in December 2019 (cropped).jpg,,,,,,,[[Filmfare Award for Best Actress]] (1956)<br>[[Filmfare Lifetime Achievement Award]] (2015),,,Indian,,,,
Kamna Jethmalani,,"[[Actress]], [[Model (person)|model]]",,,,Suraj Nagpal,{{birth date and age |df|=|yes|1985|12|11}},,[[Mumbai]],,,,,South Indian actress Kamna Jethmalani's photo-shoot (7).jpg,,,,,,,,,,,,,,
Kanak Rele,,Classical dancer<br>Choreographer<br>Academic,,,,,{{Birth date and age|df|=|yes|1937|06|11}},,India,,,[[Mohiniyattom]],,KanakRele.jpeg,{{Url|http://www.nalandadanceeducation.com|Website of Nalanda Dance Research Centre}},,,,,,[[Padma Bhushan]]<br>[[Padma Shri]]<br>[[Sangeet Natak Akademi Award]]<br>[[Kalidas Samman]]<br>Gaurav Puraskar<br>Kala Vipanchee<br>[[M. S. Subbulakshmi]] Award,,,,,,,
Kanaka,,{{hlist|Actress}},,,[[Devika]],,{{Birth date and age|1973|06|14|df|=|yes}},,"[[Chennai district|Chennai]], [[Tamil Nadu]], India",,,,,,,,,,,,,,,,,,,
T. Kanakam,,"Actor, singer",,,,,1926/1927,21 July 2015 (aged 88),[[Kharagpur]],Vijayawada,,,,,,,,,,,NTR Art Award – 2004,,,,,,,
Kanchana,,Actress,,,,,{{Birth date and age|1939|08|16|df|=|yes}},,"[[Karavadi]], [[Prakasam district|Prakasam]], [[Andhra Pradesh]], India",,,,,,,,,,,,,,,,,,,
Kangana Ranaut,,{{hlist|Actress|filmmaker}},,,,,{{Birth date and age|df|=|yes|1987|03|23}},,"[[Mandi district|Bhambla, Himachal Pradesh]], India",,,,"[[Kangana Ranaut, roles and awards#Film roles|Full list]]",Kangana Ranaut at 2019 Cannes (cropped).jpg,,,,,,[[Padma Shri]] (2020),"[[Kangana Ranaut, roles and awards#Awards and nominations|Full list]]",[[ New York Film Academy]],,,,,,
